Token0 ID,Token0 Name,Token0 Symbol,Token0 Decimals,Token1 ID,Token1 Name,Token1 Symbol,Token1 Decimals,Uniswap Pool ID,Camelot Pool ID,Uniswap TVL (USD),Camelot TVL (USD),Uniswap Fee,Camelot Fee,Token0 to USDT Price,Token1 to USDT Price,ETH_USDT
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USDC,USDC,6,0x7e5e4a3f855f19cc1a45b9eff1c8b2419036ce85,0x521aa84ab3fcc4c05cabac24dc3682339887b126,3820.206247645681,7645.44856552056,10000,150,1559.4048992778946,1.000325374718902,
0x539bde0d7dbd336b79148aa742883198bbf60342,MAGIC,MAGIC,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x7e7fb3cceca5f2ac952edf221fd2a9f62e411980,0x1106db7165a8d4a8559b441ecdee14a5d5070dbc,1369.2961062618242,31987.05102673452,10000,2750,0.0747866362402182,1559.4048992778946,
0x7189fb5b6504bbff6a852b13b7b82a3c118fdc27,ether.fi governance token,ETHFI,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x7e9cb8ad4a7683070e233f3eb1d07d87272b9b26,0x0f143fc50d6c71fee95d6ec1030e62d788507b84,36013.62572100349,109572.12522198596,3000,2334,0.47270599945879965,1559.4048992778946,
0x25d887ce7a35172c62febfd67a1856f20faebb00,Pepe,PEPE,18,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x7f153bdd5328ad8e30127a1bf2e5530bed33427a,0x224cbc20a8ac043bac4734200e6c247ab1ab6055,811.2282217197052,12945.910001135971,3000,3652,6.824507616893095e-06,1559.4048992778946,
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xfc5a1a6eb076a2c7ad06ed22c90d7e710e35ad0a,GMX,GMX,18,0x80a9ae39310abf666a87c743d6ebbd0e8c42158e,0xc99be44383bc8d82357f5a1d9ae9976ee9d75bee,7898388.175277856,251220.17746131244,10000,5692,1559.4048992778946,14.06168941279482,
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0x912ce59144191c1204e64559fe8253a0e49e6548,Arbitrum,ARB,18,0x89a4026e9ade251c67b7fb38054931a39936d9c5,0xe51635ae8136abac44906a8f230c2d235e9c195f,1527.8231957895284,295486.791581156,100,951,1559.4048992778946,0.2919833658279619,
0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,USDT,USDT,6,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,USDC,USDC,6,0x8c9d230d45d6cfee39a6680fb7cb7e8de7ea8e71,0x3ab5dd69950a948c55d1fbfb7500bf92b4bd4c48,213014.589877,10483.598797019533,100,50,0.9999601238526605,1.000325374718902,
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xec69ad001cac00bb5abd9831aa18cfbebacec369,Eternal Cash,EC,18,0x8d17f6d970f9c29279099afcaa9493f25e98866b,0xc289902620de64c07626896d839b5e139697cd5e,1190.796157281892,5642.2187989909335,3000,5199,1559.4048992778946,0.0067881928739323555,
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xd56734d7f9979dd94fae3d67c7e928234e71cd4c,TIA,TIA.n,6,0x908974b441bfca9ec4fdcd2ea49434e6e73d28f1,0x1818ff61ba19c06a554c803ed98b603d5b7d1b43,1411.9524741221344,23814.253740233005,10000,2982,1559.4048992778946,2.4739538387622533,
0x82af49447d8a07e3bd95bd0d56f35241523fbab1,WETH,WETH,18,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,ChainLink Token,LINK,18,0x91308bc9ce8ca2db82aa30c65619856cc939d907,0xe8795cf9c2309ecfe05df028eb0f21d5d6e3a951,9417.859518525533,587759.857550669,500,4848,1559.4048992778946,12.4569005042691,
